year,weighted_forecast,weighted_lower_ci,weighted_upper_ci
2025,280377838882.6408,217689616647.06793,345611310866.8124
2026,280582432338.80896,201363896217.0075,363090506664.36536
2027,280545350339.4993,186897206167.4097,378132949405.5002
