year,scenario,tariff_change,predicted_gdp_growth,predicted_unemployment,description
2025,Tariff Increase,5,0.6962778697330929,-4.152993766891884,5 percentage point tariff increase
2026,Tariff Increase,5,0.6962778697330929,-4.152993766891884,5 percentage point tariff increase
2027,Tariff Increase,5,0.6962778697330929,-4.152993766891884,5 percentage point tariff increase
