year,scenario,tariff_change,predicted_gdp_growth,predicted_unemployment,description
2025,Baseline,0,2.571904307060132,4.736251354373419,Current policies continue
2026,Baseline,0,2.571904307060132,4.736251354373419,Current policies continue
2027,Baseline,0,2.571904307060132,4.736251354373419,Current policies continue
