year,forecast,scenario,description
2025,372382599125.0036,Tariff Reduction,Tariffs reduced by 50%
2026,381396622120.3626,Tariff Reduction,Tariffs reduced by 50%
2027,364084044672.0101,Tariff Reduction,Tariffs reduced by 50%
